	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	max_x	max_y	max_z	max_tot	median_tot
0	-0.75049	0.216411	0.96701	0.005498	-0.008765	0.002262	0.7550820000000016	0.5558109999999914	0.8980400000000017	1.1416443041687725	0.5021095288062084
1	-0.75049	0.216411	0.96701	0.005498	-0.008765	0.002262	0.7550820000000016	0.5558109999999914	0.8980400000000017	1.1416443041687725	0.5021095288062084
2	-0.75049	0.216411	0.96701	0.005498	-0.008765	0.002262	0.7550820000000016	0.5558109999999914	0.8980400000000017	1.1416443041687725	0.5021095288062084
3	-0.75049	0.216411	0.96701	0.005498	-0.008765	0.002262	0.7550820000000016	0.5558109999999914	0.8980400000000017	1.1416443041687725	0.5021095288062084
4	0.36494	-0.105483	0.483012	0.000285	-0.002421	-0.004157	0.4352310000000159	0.4222210000000004	0.470362	0.571822576113432	0.4111092550478481
5	-0.403938	0.132812	1.152688	0.002195	-0.005881	0.000712	0.4058459999999968	0.2412130000000019	1.0713249999999999	1.1436450672573204	0.6950004942808089
6	-0.163159	-0.824545	2.37114	0.00578	-0.010237	-0.004485	0.7381479999999954	0.8266249999999928	2.143578	2.2952940810349323	1.4421206710340984
7	1.096022	-1.121946	0.12494	0.00107	0.002587	-0.01048	1.0168040000000076	0.9894189999999838	0.381484	1.128848836665032	0.665223903934437
8	1.080049	-0.479876	-0.473539	-0.008051	0.002535	-0.009902	0.9324129999999968	0.7608370000000022	0.7600489999999995	0.9793266872147381	0.562401828999512
9	1.013913	-0.178768	-1.041856	-0.010806	0.004367	-0.008375	0.8757730000000095	0.7314530000000019	0.7046520000000001	1.1495339038031953	0.507993308834869
10	0.221261	0.124053	-0.521574	-0.007419	-0.002459	-0.003094	0.2893089999999958	0.460764999999995	0.665298	0.765522372139442	0.3165041832851574
11	-1.018205	1.764475	-1.598264	-0.011356	4.1e-05	0.010061	0.9222509999999886	1.573717000000002	1.491495999999998	2.0576991946030443	1.304862903902553
12	0.24372	1.084516	-2.865947	-0.007228	0.008432	0.004148	0.7680519999999973	1.0822409999999962	2.4655640000000005	2.6768061072078027	2.0104303910578416
13	0.362803	-0.400566	-0.952965	0.003099	0.010337	0.003403	0.7921520000000015	0.8256969999999981	1.0505529999999998	1.3009338193443967	0.8152775762487171
14	-0.253001	-1.041383	0.906295	0.009165	-0.000718	0.001321	0.2530789999999996	1.2127480000000048	0.879467	1.460232076062912	0.9626041978382094
15	-0.392977	-0.305233	0.063718	0.003952	0.002206	0.005055	0.43034100000000564	0.94874200000001	0.375301	1.0080094214425759	0.5605570202637258
16	0.427329	-0.936454	-0.298952	0.000278	0.003588	-0.002206	0.42710399999999993	0.9368349999999879	0.335286	1.0280816635700678	0.8203473947749181
